question_id,question,answer_id,title,08 - Feminina,09 - Sexy,10 - Trendy,11 - Elegante,12 - Casual,13 - Tradicional,14 - Contemporanea
30,1. Com qual dessas celebridades brasileiras você se identifica mais?,112,deborah secco,10,20,20,10,10,0,10
30,1. Com qual dessas celebridades brasileiras você se identifica mais?,113,grazi mazzafera,30,10,10,10,10,0,0
30,1. Com qual dessas celebridades brasileiras você se identifica mais?,114,priscila fantin,30,0,10,0,30,0,0
31,2. Com qual dessas celebridades internacionais você se identifica mais?,117,angelina jolie,0,40,0,20,0,0,0
31,2. Com qual dessas celebridades internacionais você se identifica mais?,115,blake lively,0,20,10,10,0,0,10
31,2. Com qual dessas celebridades internacionais você se identifica mais?,116,kate winslet,20,10,10,10,0,10,0
32,3. De qual desses ícones de estilo você gostaria de herdar o guarda-roupa?,119,carla bruni,0,0,10,30,0,10,10
32,3. De qual desses ícones de estilo você gostaria de herdar o guarda-roupa?,120,kate moss,0,20,10,20,0,0,10
32,3. De qual desses ícones de estilo você gostaria de herdar o guarda-roupa?,118,sarah jessica parker,10,10,10,10,0,20,20
33,4. Qual dessas peças não pode faltar no seu dia a dia?,123,blazer,0,0,10,10,0,40,0
33,4. Qual dessas peças não pode faltar no seu dia a dia?,121,jeans,0,0,10,0,40,0,0
33,4. Qual dessas peças não pode faltar no seu dia a dia?,122,vestido,10,10,10,10,10,20,0
34,5. Qual desses estilos de cabelo mais te agradam?,124,chanel basico,0,0,10,10,0,30,0
34,5. Qual desses estilos de cabelo mais te agradam?,125,curtissimo repicado,0,10,20,10,0,0,30
34,5. Qual desses estilos de cabelo mais te agradam?,126,longo esvoacante,20,20,10,10,10,0,10
35,"6. Se pudesse voltar no tempo, que época da moda você escolheria?",127,anos 1950,30,0,10,10,0,10,20
35,"6. Se pudesse voltar no tempo, que época da moda você escolheria?",128,anos 1960,10,0,10,10,10,10,20
35,"6. Se pudesse voltar no tempo, que época da moda você escolheria?",129,anos 1970,0,0,20,10,10,0,30
36,7. Qual desses roteiros de viagem mais te agrada?,130,europa cultural,10,0,0,30,0,20,0
36,7. Qual desses roteiros de viagem mais te agrada?,132,ilha gregas,30,0,0,20,10,10,0
36,7. Qual desses roteiros de viagem mais te agrada?,131,nova iorque,0,10,10,20,0,0,30
37,"8. Se você fosse escolher um estilo de dança para aprender, qual seria?",133,danca de salao,10,10,20,10,0,10,0
37,"8. Se você fosse escolher um estilo de dança para aprender, qual seria?",135,samba,20,10,30,0,10,0,10
37,"8. Se você fosse escolher um estilo de dança para aprender, qual seria?",134,tango,0,30,10,10,0,10,0
38,9. Qual dessas revistas femininas você tem o hábito de ler?,138,claudia,10,10,20,10,10,10,20
38,9. Qual dessas revistas femininas você tem o hábito de ler?,136,elle,0,10,10,20,0,0,30
38,9. Qual dessas revistas femininas você tem o hábito de ler?,137,marie claire,0,10,10,10,0,10,20
39,10. Com qual desses trajes você costuma dormir?,141,camisola de algodao,40,0,0,0,20,0,0
39,10. Com qual desses trajes você costuma dormir?,139,camisola de seda,10,40,0,10,0,0,0
39,10. Com qual desses trajes você costuma dormir?,140,pijama de flanela,20,0,0,0,40,0,0
40,11. Qual desses modelos de óculos escuros mais combina com você?,142,classicos em acetato,10,0,10,10,0,30,0
40,11. Qual desses modelos de óculos escuros mais combina com você?,143,o bom e velho modelo aviador,10,0,10,10,20,0,10
40,11. Qual desses modelos de óculos escuros mais combina com você?,144,tipo gatinho,10,0,20,10,10,10,20
