CodigoProduto	CodigoProdutoPai	Codigobarras	CodigoFabricante	TipoProduto	NomeProduto	Descricao	Classe	Marca	Familia	Grupo	SubGrupo	Peso	Comprimento	Largura	Espessura	QtdePorEmbalagem	QtdeMinimaEstoque	QtdeMaximaEstoque	UnidadeMedidaNome	UnidadeMedidaAbrev	CodigoCategoriaFiscal	ClassificacaoFiscal	DescritorSimples1	DescritorSimples2	DescritorSimples3	DescritorPreDefinido1	DescritorPreDefinido2	DescritorPreDefinido3	DescricaoComplementar1	DescricaoComplementar2	DescricaoComplementar3	DescricaoComplementar4	DescricaoComplementar5	DescricaoComplementar6	DescricaoComplementar7	DescricaoComplementar8	DescricaoComplementar9	DescricaoComplementar10	PrecoTabela1	PrecoPromocao1	InicioPromocao1	TerminoPromocao1	PrecoTabela2	PrecoPromocao2	InicioPromocao2	TerminoPromocao2	DiasGarantia	PrazoEntregaDias	ControlaEstoque	ProdutoSerBrinde	CategoriasSite	Interfaces	AtributoEstendido1	AtributoEstendido2	AtributoEstendido3	AtributoEstendido4	AtributoEstendido5	AtributoEstendido6	AtributoEstendido7	AtributoEstendido8	AtributoEstendido9	AtributoEstendido10	OrigemMercadoria
91558			4907/SAIA PAETE COM BABADINHO EMBAIXO	P	SAIA PAETE COM BABADINHO EMBAIXO	Saia de paetê com babados	Roupa	HAES	Saia	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62045300	Dourado	Dourado	Dourado	Dourado		OLOOK	"P: Cós: 37cm / Quadril: 94cm / Comprimento: 36cm; M: Cós: 39cm / Quadril: 96cm / Comprimento: 36cm; G: Cós: 41cm / Quadril: 98cm / Comprimento: 36cm "			Saia	Minissaia paetê dourado com detalhe fluido na barra transparente.	100% POLIESTER			Fashionista, Sexy, Elegante		229.9												1,4,15,45	5											
91559	91558	0353020138812	4907/SAIA PAETE COM BABADINHO EMBAIXO	P	SAIA PAETE COM BABADINHO EMBAIXO	Saia de paetê com babados	Roupa	HAES	Saia	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62045300	Dourado	Dourado	Dourado	Dourado	P	OLOOK	"P: Cós: 37cm / Quadril: 94cm / Comprimento: 36cm; M: Cós: 39cm / Quadril: 96cm / Comprimento: 36cm; G: Cós: 41cm / Quadril: 98cm / Comprimento: 36cm "			Saia	Minissaia paetê dourado com detalhe fluido na barra transparente.	100% POLIESTER			Fashionista, Sexy, Elegante		229.9												1,4,15,45	5											
91560	91558	0353020138813	4907/SAIA PAETE COM BABADINHO EMBAIXO	P	SAIA PAETE COM BABADINHO EMBAIXO	Saia de paetê com babados	Roupa	HAES	Saia	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62045300	Dourado	Dourado	Dourado	Dourado	M	OLOOK	"P: Cós: 37cm / Quadril: 94cm / Comprimento: 36cm; M: Cós: 39cm / Quadril: 96cm / Comprimento: 36cm; G: Cós: 41cm / Quadril: 98cm / Comprimento: 36cm "			Saia	Minissaia paetê dourado com detalhe fluido na barra transparente.	100% POLIESTER			Fashionista, Sexy, Elegante		229.9												1,4,15,45	5											
91561	91558	0353020138814	4907/SAIA PAETE COM BABADINHO EMBAIXO	P	SAIA PAETE COM BABADINHO EMBAIXO	Saia de paetê com babados	Roupa	HAES	Saia	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		62045300	Dourado	Dourado	Dourado	Dourado	G	OLOOK	"P: Cós: 37cm / Quadril: 94cm / Comprimento: 36cm; M: Cós: 39cm / Quadril: 96cm / Comprimento: 36cm; G: Cós: 41cm / Quadril: 98cm / Comprimento: 36cm "			Saia	Minissaia paetê dourado com detalhe fluido na barra transparente.	100% POLIESTER			Fashionista, Sexy, Elegante		229.9												1,4,15,45	5											
91574			5207A/BLUSA FOIL PENAS TRICOT	P	BLUSA FOIL PENAS TRICOT	Blusa de tricot com estampa foil penas douradas	Roupa	HAES	Tricot	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61062000	Preto	Preto	Preto	Preto		OLOOK	"P: Ombro: 64cm / Busto: 100cm / Comprimento: 54cm; M: Ombro: 66cm / Busto: 102cm / Comprimento: 54cm; G: Ombro: 68cm / Busto: 104cm / Comprimento: 54cm"			Tricot	Tricot amplo com estampa foil penas douradas. Na cor preto.				Básica		199.9												1,3,15,44,45	5											
91575	91574	0353012139212	5207A/BLUSA FOIL PENAS TRICOT	P	BLUSA FOIL PENAS TRICOT	Blusa de tricot com estampa foil penas douradas	Roupa	HAES	Tricot	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61062000	Preto	Preto	Preto	Preto	P	OLOOK	"P: Ombro: 64cm / Busto: 100cm / Comprimento: 54cm; M: Ombro: 66cm / Busto: 102cm / Comprimento: 54cm; G: Ombro: 68cm / Busto: 104cm / Comprimento: 54cm"			Tricot	Tricot amplo com estampa foil penas douradas. Na cor preto.				Básica		199.9												1,3,15,44,45	5											
91576	91574	0353012139213	5207A/BLUSA FOIL PENAS TRICOT	P	BLUSA FOIL PENAS TRICOT	Blusa de tricot com estampa foil penas douradas	Roupa	HAES	Tricot	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61062000	Preto	Preto	Preto	Preto	M	OLOOK	"P: Ombro: 64cm / Busto: 100cm / Comprimento: 54cm; M: Ombro: 66cm / Busto: 102cm / Comprimento: 54cm; G: Ombro: 68cm / Busto: 104cm / Comprimento: 54cm"			Tricot	Tricot amplo com estampa foil penas douradas. Na cor preto.				Básica		199.9												1,3,15,44,45	5											
91577	91574	0353012139214	5207A/BLUSA FOIL PENAS TRICOT	P	BLUSA FOIL PENAS TRICOT	Blusa de tricot com estampa foil penas douradas	Roupa	HAES	Tricot	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61062000	Preto	Preto	Preto	Preto	G	OLOOK	"P: Ombro: 64cm / Busto: 100cm / Comprimento: 54cm; M: Ombro: 66cm / Busto: 102cm / Comprimento: 54cm; G: Ombro: 68cm / Busto: 104cm / Comprimento: 54cm"			Tricot	Tricot amplo com estampa foil penas douradas. Na cor preto.				Básica		199.9												1,3,15,44,45	5											
91598			131027/CAMISETA PAETE E MALHA	P	CAMISETA PAETE E MALHA	Blusa em malha com paetê	Roupa	JO FASHION	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61099000	Rose	Rose	Rose	Rose		OLOOK	"P: Ombro: 35cm / Busto: 88cm / Comprimento: 66cm; M: Ombro: 37cm / Busto: 90cm / Comprimento: 66cm; G: Ombro: 39cm / Busto: 92cm / Comprimento: 66cm"			Blusa	Blusa manga curta em malha com paetês. Na cor bege	TECIDO COM PAETE 100% POLIESTER TECIDO EM MALHA  96% VISCOSE 04% ELASTANO			Fashionista, Elegante		159.9												1,4,15,45	5											
91599	91598	0350212139812	131027/CAMISETA PAETE E MALHA	P	CAMISETA PAETE E MALHA	Blusa em malha com paetê	Roupa	JO FASHION	Blusa	Coleção Maio 2013	Default	0.1	1	1	1	1			UNIDADE	UNI		61099000	Rose	Rose	Rose	Rose	P	OLOOK	"P: Ombro: 35cm / Busto: 88cm / Comprimento: 66cm; M: Ombro: 37cm / Busto: 90cm / Comprimento: 66cm; G: Ombro: 39cm / Busto: 92cm / Comprimento: 66cm"			Blusa	Blusa manga curta em malha com paetês. Na cor bege	TECIDO COM PAETE 100% POLIESTER TECIDO EM MALHA  96% VISCOSE 04% ELASTANO			Fashionista, Elegante		159.9												1,4,15,45	5											
